Service Request URL,Service Request,Status,Request Date,Description
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071253&type=new_cs180221194656&viewRole=,101000071253,Assigned,"July 28, 2017 9:58 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217509-101000071239&type=new_cs180301154109&viewRole=,217509-101000071239,Completed,"July 28, 2017 9:22 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071238&type=new_cs180226204420&viewRole=,101000071238,Completed,"July 28, 2017 9:21 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071228&type=new_cs180221194251&viewRole=,101000071228,Completed,"July 28, 2017 9:01 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071227&type=new_cs180221194656&viewRole=,101000071227,Assigned,"July 28, 2017 9:00 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071223&type=new_cs180226204420&viewRole=,101000071223,Completed,"July 28, 2017 8:48 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071221&type=new_cs180221194656&viewRole=,101000071221,Assigned,"July 28, 2017 8:43 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217488-101000071210&type=new_cs180221194251&viewRole=,217488-101000071210,Completed,"July 28, 2017 6:56 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217481-101000071208&type=new_cs180226204420&viewRole=,217481-101000071208,Completed,"July 28, 2017 12:46 am",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071200&type=new_cs180221192758&viewRole=,101000071200,Completed,"July 27, 2017 5:04 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217410-101000071197&type=new_cs180226204420&viewRole=,217410-101000071197,Completed,"July 27, 2017 4:57 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071184&type=new_cs180301154109&viewRole=,101000071184,Assigned,"July 27, 2017 4:12 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217395-101000071175&type=new_cs180221194656&viewRole=,217395-101000071175,Assigned,"July 27, 2017 3:50 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=217394-101000071174&type=new_cs180221194656&viewRole=,217394-101000071174,Completed,"July 27, 2017 3:47 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071173&type=new_cs180301154109&viewRole=,101000071173,Assigned,"July 27, 2017 3:46 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071169&type=new_cs180301154109&viewRole=,101000071169,Completed,"July 27, 2017 3:34 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071164&type=new_cs180221194656&viewRole=,101000071164,Assigned,"July 27, 2017 3:17 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071162&type=new_cs180301142929&viewRole=,101000071162,Assigned,"July 27, 2017 3:13 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071160&type=new_cs180301153010&viewRole=,101000071160,Assigned,"July 27, 2017 3:12 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071153&type=new_cs180221194656&viewRole=,101000071153,Assigned,"July 27, 2017 2:57 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071151&type=new_cs180221194656&viewRole=,101000071151,Completed,"July 27, 2017 2:52 pm",
https://www.rva311.com/rvaone/Requests/ViewRequestDetail?requestId=101000071148&type=new_cs180221194423&viewRole=,101000071148,Completed,"July 27, 2017 2:47 pm",
